"","Best subset","Lasso","Forward stepwise","Relaxed lasso","LS-GD","LS-CRI","LS-CRI.Z","LS-CAR","LS-SIS","Ridge-GD","Ridge-CRI","Ridge-CRI.Z","Ridge-CAR","Ridge-SIS"
"lo",203.997222222226,0.924999999998875,1.97222222222116,0.941666666665877,26.8777777777826,1.05833333333149,1.03333333333361,0,0.78055555555421,31.0777777777729,5.68333333332914,5.71111111111433,0,5.5055555555534
"med",0,3.63888888888949,187.888888888874,4.00555555555179,0,24.2138888888748,23.8722222222213,0,12.7138888888761,0,50.1861111111116,49.8555555555607,0,39.1277777777585
"hi50",0,3.56388888891312,78.0666666666244,2.94999999999365,0,23.5333333333231,8.2694444444385,12.5249999999995,3.67500000000241,0,82.8805555555831,70.9694444444262,75.830555555554,66.5750000000248
"hi100",0,6.0861111110997,141.549999999968,5.21666666667266,0,53.2805555555403,24.1583333333182,37.3694444444186,4.88611111111469,0,107.152777777774,83.7944444444494,96.9111111110988,59.7222222222325
