"","GD","CRI","CRI.Z","CAR","SIS"
"lo",26.0583333333299,0.444444444445303,0.402777777777727,0,0.14166666666698
"med",0,12.0333333333173,11.630555555553,0,0.236111111111212
"hi50",0,20.9083333333334,5.5833333333332,9.54722222222152,0.305555555555409
"hi100",0,49.0916666666639,20.1194444444442,33.4361111111093,0.433333333333318
